nome,metodo,silabas,origem_referencia,observacao
Chronara,raiz_grega,3,"grego 'chronos' = tempo",tempo/progressao
Chronis,raiz_grega,2,"grego 'chronos'",forma curta
Heliara,raiz_grega,3,"grego 'helios' = sol",energia/vitalidade simbolica
Heliona,raiz_grega,3,"grego 'helios'",variante
Asteron,raiz_grega,3,"grego 'aster'",variante
Astrion,raiz_grega,3,"grego 'astron'",variante tech
Cosmora,raiz_grega,3,"grego 'kosmos' = ordem/universo",organizacao da vida
Cosmion,raiz_grega,3,"grego 'kosmos'",variante
Poliara,raiz_grega,3,"grego 'poly' = muitos",abrangencia de dados
Phosara,raiz_grega,3,"grego 'phos' = luz",clareza/insight
Photeon,raiz_grega,3,"grego 'phos/photos'",variante tech
Thallora,raiz_grega,3,"grego 'thallo' = brotar/crescer",crescimento continuo
Thallon,raiz_grega,2,"grego 'thallo'",curto
Zenthora,raiz_grega,3,"grego 'zenith'-like coined",auge/potencial maximo
Skopion,raiz_grega,3,"grego 'skopein'",variante
Metrona,raiz_grega,3,"grego 'metron' = medida",dados/metricas
Praxora,raiz_grega,3,"grego 'praxis' = pratica/acao",acao concreta
Genoris,raiz_grega,3,"grego 'genos'",variante
Panoris,raiz_grega,3,"grego 'pan'",variante
Ourania,raiz_grega,4,"grego 'ouranos' = ceu",amplitude/expansao
Selenoa,raiz_grega,4,"grego 'selene' = lua",ciclos naturais
Aionara,raiz_grega,4,"grego 'aion' + sufixo longo",variante premium
Terrana,raiz_latina,3,"latim 'terra' = terra",base/fundamento
Terrona,raiz_latina,3,"latim 'terra'",variante
Origora,raiz_latina,3,"latim 'origo' = origem",inicio/nascimento
Cursora,raiz_latina,3,"latim 'cursus' = trajetoria",trajetoria de vida
Sperana,raiz_latina,3,"latim 'spero' = esperar/esperanca",confianca no futuro
Solvara,raiz_latina,3,"latim 'solvere' = resolver",solucao
Amplora,raiz_latina,3,"latim 'amplus' = amplo",visao ampla
Mensara,raiz_latina,3,"latim 'mens' = mente",cognicao
Plenora,raiz_latina,3,"latim 'plenus' = pleno",plenitude
Plenexa,raiz_latina,3,"latim 'plenus'",variante tech
Duraxis,raiz_latina,3,"latim 'durare' = durar",durabilidade/longevidade sem usar raiz proibida
Duravia,raiz_latina,3,"latim 'durare' + 'via'",jornada duradoura
